# Components bundled inside the PXF server application JAR (BOOT-INF/lib) of the
# convenience binary packages. Regenerate/verify with generate-binary-license.py.
#
# jar_file	coordinate	license_id	license_file	notes
htrace-core4-4.2.0-incubating.jar	org.apache.htrace:htrace-core4:4.2.0-incubating	Apache-2.0	-	
httpclient-4.5.14.jar	org.apache.httpcomponents:httpclient:4.5.14	Apache-2.0	-	
httpcore-4.4.16.jar	org.apache.httpcomponents:httpcore:4.4.16	Apache-2.0	-	
istack-commons-runtime-3.0.12.jar	com.sun.istack:istack-commons-runtime:3.0.12	EDL-1.0	LICENSE-istack-commons-runtime.txt	
jackson-annotations-2.13.5.jar	com.fasterxml.jackson.core:jackson-annotations:2.13.5	Apache-2.0	-	
jackson-core-2.13.5.jar	com.fasterxml.jackson.core:jackson-core:2.13.5	Apache-2.0	-	
jackson-core-asl-1.9.13.jar	org.codehaus.jackson:jackson-core-asl:1.9.13	Apache-2.0	-	
jackson-databind-2.13.5.jar	com.fasterxml.jackson.core:jackson-databind:2.13.5	Apache-2.0	-	
jackson-datatype-jdk8-2.13.5.jar	com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.13.5	Apache-2.0	-	
jackson-datatype-jsr310-2.13.5.jar	com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.13.5	Apache-2.0	-	
jackson-mapper-asl-1.9.13.jar	org.codehaus.jackson:jackson-mapper-asl:1.9.13	Apache-2.0	-	
jackson-module-parameter-names-2.13.5.jar	com.fasterxml.jackson.module:jackson-module-parameter-names:2.13.5	Apache-2.0	-	
jakarta.activation-1.2.2.jar	com.sun.activation:jakarta.activation:1.2.2	EDL-1.0	LICENSE-jakarta.activation.txt	
jakarta.annotation-api-1.3.5.jar	jakarta.annotation:jakarta.annotation-api:1.3.5	EPL-2.0 OR GPL-2.0-with-classpath-exception	LICENSE-jakarta.annotation-api.txt	ASF Category B: binary-only inclusion
jakarta.xml.bind-api-2.3.3.jar	jakarta.xml.bind:jakarta.xml.bind-api:2.3.3	EDL-1.0	LICENSE-jakarta.xml.bind-api.txt	
jaxb-runtime-2.3.9.jar	org.glassfish.jaxb:jaxb-runtime:2.3.9	EDL-1.0	LICENSE-jaxb-runtime.txt	
jdo-api-3.0.1.jar	javax.jdo:jdo-api:3.0.1	Apache-2.0	-	
jetty-util-6.1.26.jar	org.mortbay.jetty:jetty-util:6.1.26	Apache-2.0	-	dual-licensed Apache-2.0 / EPL-1.0; Apache-2.0 elected
joda-time-2.8.1.jar	joda-time:joda-time:2.8.1	Apache-2.0	-	
jodd-core-3.5.2.jar	org.jodd:jodd-core:3.5.2	BSD-2-Clause	LICENSE-jodd-core.txt	
jul-to-slf4j-1.7.36.jar	org.slf4j:jul-to-slf4j:1.7.36	MIT	LICENSE-slf4j.txt	
kryo-3.0.3.jar	com.esotericsoftware:kryo:3.0.3	BSD-3-Clause	LICENSE-kryo.txt	
LatencyUtils-2.0.3.jar	org.latencyutils:LatencyUtils:2.0.3	CC0-1.0	LICENSE-LatencyUtils.txt	
libfb303-0.9.3.jar	org.apache.thrift:libfb303:0.9.3	Apache-2.0	-	
libthrift-0.9.3.jar	org.apache.thrift:libthrift:0.9.3	Apache-2.0	-	
log4j-api-2.25.4.jar	org.apache.logging.log4j:log4j-api:2.25.4	Apache-2.0	-	
log4j-core-2.25.4.jar	org.apache.logging.log4j:log4j-core:2.25.4	Apache-2.0	-	
log4j-jul-2.25.4.jar	org.apache.logging.log4j:log4j-jul:2.25.4	Apache-2.0	-	
log4j-over-slf4j-1.7.36.jar	org.slf4j:log4j-over-slf4j:1.7.36	Apache-2.0	-	
log4j-slf4j-impl-2.25.4.jar	org.apache.logging.log4j:log4j-slf4j-impl:2.25.4	Apache-2.0	-	
log4j-spring-boot-2.25.4.jar	org.apache.logging.log4j:log4j-spring-boot:2.25.4	Apache-2.0	-	
metrics-core-3.2.6.jar	io.dropwizard.metrics:metrics-core:3.2.6	Apache-2.0	-	
micrometer-core-1.9.17.jar	io.micrometer:micrometer-core:1.9.17	Apache-2.0	-	
micrometer-registry-prometheus-1.9.17.jar	io.micrometer:micrometer-registry-prometheus:1.9.17	Apache-2.0	-	
minlog-1.3.0.jar	com.esotericsoftware:minlog:1.3.0	BSD-3-Clause	LICENSE-minlog.txt	
